phase,phase_iteration,global_iteration,algorithm,cvar_value,root,nproc,message_size_bytes,time_sum_sec,avg_latency_sec,min_time_sec,max_time_sec,correct
warmup,66,66,binomial,1,0,256,3,0.017431733,0.000068093,0.000004429,0.000120727,1
warmup,67,67,binomial,1,0,256,3,0.023064909,0.000090097,0.000002856,0.000151945,1
warmup,68,68,binomial,1,0,256,3,0.023323208,0.000091106,0.000004489,0.000166753,1
warmup,69,69,binomial,1,0,256,3,0.024204814,0.000094550,0.000001894,0.000169679,1
warmup,70,70,binomial,1,0,256,3,0.019955491,0.000077951,0.000004498,0.000131647,1
warmup,71,71,binomial,1,0,256,3,0.025424144,0.000099313,0.000004609,0.000160281,1
warmup,72,72,binomial,1,0,256,3,0.020305683,0.000079319,0.000004449,0.000146756,1
warmup,73,73,binomial,1,0,256,3,0.026189338,0.000102302,0.000004568,0.000169959,1
warmup,74,74,binomial,1,0,256,3,0.018440662,0.000072034,0.000004489,0.000128952,1
warmup,75,75,binomial,1,0,256,3,0.021672710,0.000084659,0.000004699,0.000143459,1
warmup,76,76,binomial,1,0,256,3,0.018161572,0.000070944,0.000004558,0.000131036,1
warmup,77,77,binomial,1,0,256,3,0.025274961,0.000098730,0.000003456,0.000154150,1
warmup,78,78,binomial,1,0,256,3,0.020451817,0.000079890,0.000004499,0.000148940,1
warmup,79,79,binomial,1,0,256,3,0.026404554,0.000103143,0.000003106,0.000171682,1
warmup,80,80,binomial,1,0,256,3,0.019377584,0.000075694,0.000004488,0.000130966,1
warmup,81,81,binomial,1,0,256,3,0.022569269,0.000088161,0.000002124,0.000147777,1
warmup,82,82,binomial,1,0,256,3,0.018149004,0.000070895,0.000008015,0.000119354,1
warmup,83,83,binomial,1,0,256,3,0.022298444,0.000087103,0.000003346,0.000137047,1
warmup,84,84,binomial,1,0,256,3,0.016876296,0.000065923,0.000004488,0.000118042,1
warmup,85,85,binomial,1,0,256,3,0.025754918,0.000100605,0.000004469,0.000164328,1
warmup,86,86,binomial,1,0,256,3,0.019624376,0.000076658,0.000003126,0.000129934,1
warmup,87,87,binomial,1,0,256,3,0.023577964,0.000092101,0.000002946,0.000148469,1
warmup,88,88,binomial,1,0,256,3,0.020156231,0.000078735,0.000004558,0.000130966,1
warmup,89,89,binomial,1,0,256,3,0.024738794,0.000096636,0.000002945,0.000165461,1
warmup,90,90,binomial,1,0,256,3,0.017858533,0.000069760,0.000004408,0.000126738,1
warmup,91,91,binomial,1,0,256,3,0.026758011,0.000104523,0.000002675,0.000164559,1
warmup,92,92,binomial,1,0,256,3,0.019653880,0.000076773,0.000002755,0.000129423,1
warmup,93,93,binomial,1,0,256,3,0.025936281,0.000101314,0.000003065,0.000164238,1
warmup,94,94,binomial,1,0,256,3,0.019520699,0.000076253,0.000004408,0.000137879,1
warmup,95,95,binomial,1,0,256,3,0.022306435,0.000087135,0.000002976,0.000137007,1
